Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,all,444977,1.0
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,3+,8900,0.02
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,1,369331,0.83
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,2,66747,0.15
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,3,8900,0.02
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Fatick,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,all,149832,1.0
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,3+,11986,0.08
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,1,112374,0.75
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,2,25471,0.17
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,3,10488,0.07
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,4,1498,0.01
Nov 2025,SEN,19573989,,Malem-hodar,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,all,149832,1.0
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,3+,14984,0.1
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,1,106381,0.71
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,2,28468,0.19
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,3,11987,0.08
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,4,2997,0.02
Nov 2025,SEN,19573989,,Malem-hodar,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,all,183898,1.0
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,3+,20229,0.11
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,1,126890,0.69
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,2,36780,0.2
